"","MONTH","DAY","DRUNK_DR"
"1",1,1,54
"2",2,1,33
"3",3,1,39
"4",4,1,23
"5",5,1,17
"6",6,1,16
"7",7,1,15
"8",8,1,49
"9",9,1,18
"10",10,1,15
"11",11,1,49
"12",12,1,14
"13",1,2,8
"14",2,2,14
"15",3,2,8
"16",4,2,17
"17",5,2,55
"18",6,2,17
"19",7,2,19
"20",8,2,61
"21",9,2,20
"22",10,2,21
"23",11,2,13
"24",12,2,19
"25",1,3,24
"26",2,3,8
"27",3,3,9
"28",4,3,27
"29",5,3,66
"30",6,3,14
"31",7,3,27
"32",8,3,23
"33",9,3,19
"34",10,3,48
"35",11,3,19
"36",12,3,15
"37",1,4,13
"38",2,4,15
"39",3,4,18
"40",4,4,41
"41",5,4,16
"42",6,4,24
"43",7,4,54
"44",8,4,22
"45",9,4,37
"46",10,4,37
"47",11,4,20
"48",12,4,20
"49",1,5,14
"50",2,5,15
"51",3,5,12
"52",4,5,38
"53",5,5,21
"54",6,5,23
"55",7,5,48
"56",8,5,22
"57",9,5,46
"58",10,5,15
"59",11,5,22
"60",12,5,43
"61",1,6,13
"62",2,6,15
"63",3,6,34
"64",4,6,19
"65",5,6,22
"66",6,6,38
"67",7,6,11
"68",8,6,17
"69",9,6,40
"70",10,6,14
"71",11,6,18
"72",12,6,37
"73",1,7,13
"74",2,7,24
"75",3,7,41
"76",4,7,12
"77",5,7,21
"78",6,7,53
"79",7,7,28
"80",8,7,35
"81",9,7,26
"82",10,7,14
"83",11,7,38
"84",12,7,18
"85",1,8,14
"86",2,8,35
"87",3,8,44
"88",4,8,13
"89",5,8,28
"90",6,8,16
"91",7,8,17
"92",8,8,39
"93",9,8,11
"94",10,8,18
"95",11,8,38
"96",12,8,11
"97",1,9,26
"98",2,9,9
"99",3,9,11
"100",4,9,16
"101",5,9,41
"102",6,9,10
"103",7,9,17
"104",8,9,48
"105",9,9,19
"106",10,9,20
"107",11,9,10
"108",12,9,13
"109",1,10,35
"110",2,10,13
"111",3,10,12
"112",4,10,25
"113",5,10,47
"114",6,10,14
"115",7,10,23
"116",8,10,13
"117",9,10,13
"118",10,10,43
"119",11,10,21
"120",12,10,19
"121",1,11,32
"122",2,11,7
"123",3,11,17
"124",4,11,54
"125",5,11,14
"126",6,11,13
"127",7,11,49
"128",8,11,23
"129",9,11,20
"130",10,11,51
"131",11,11,12
"132",12,11,24
"133",1,12,9
"134",2,12,15
"135",3,12,8
"136",4,12,49
"137",5,12,17
"138",6,12,40
"139",7,12,45
"140",8,12,15
"141",9,12,40
"142",10,12,18
"143",11,12,16
"144",12,12,37
"145",1,13,15
"146",2,13,31
"147",3,13,26
"148",4,13,13
"149",5,13,13
"150",6,13,47
"151",7,13,22
"152",8,13,25
"153",9,13,46
"154",10,13,11
"155",11,13,24
"156",12,13,38
"157",1,14,13
"158",2,14,39
"159",3,14,38
"160",4,14,17
"161",5,14,29
"162",6,14,48
"163",7,14,21
"164",8,14,31
"165",9,14,9
"166",10,14,21
"167",11,14,35
"168",12,14,11
"169",1,15,13
"170",2,15,37
"171",3,15,36
"172",4,15,12
"173",5,15,17
"174",6,15,25
"175",7,15,16
"176",8,15,65
"177",9,15,13
"178",10,15,21
"179",11,15,43
"180",12,15,12
"181",1,16,15
"182",2,16,16
"183",3,16,22
"184",4,16,16
