movieID	movieTitle	genres	rating
1	Ocean's Thirteen (2007)	Crime, Thriller	6.9
2	Boogie Nights (1997)	Drama	7.9
3	Just Friends (2005)	Music	6.3
4	Frozen (2013)	Thriller	5.8
5	Empire Records (1995)	Comedy, Drama, Music	6.7
6	Tideland (2006)	Drama, Fantasy, Horror	6.5
7	I Want Candy (2007)	Comedy	5.4
8	Empire (2002)	Drama, Western	8.4
9	Stripped (2013)	Documentary	4.9
10	Ftina tsigara (2001)	Comedy, Romance	7.4
11	War Chod Na Yaar (2013)	Comedy, War	5.6
12	Matchstick Men (2003)	Comedy, Crime, Drama	7.3
13	The Extendables (2014)	Comedy	4.3
14	Unemployed (2008)	Comedy	3.2
15	The Ladies of the House (2015)	Horror, Thriller	5.4
16	Love Wrecked (2006)	Adventure, Comedy, Romance	4.9
17	Oceans (1998)	NO DATA	NO DATA
18	Men in Pink (1999)	Documentary	NO DATA
19	Open Season 3 (2011)	Adventure, Animation, Comedy	5.2
20	Space Buddies (2009)	Adventure, Family, Fantasy	4.5
21	Going, Going, Almost Gone! Animals in Danger (1995)	NO DATA	NO DATA
22	I'll Be Home for Christmas (1998)	Drama	6.5
23	Tunnel Rats (2008)	Action, Drama, War	4.7
24	Kickassia (2010)	Action, Comedy	6.2
25	Delivering Milo (2001)	Comedy, Fantasy	5.8
26	Ronal Barbaren (2011)	Adventure, Animation, Comedy	6.6
27	Late Phases (2014)	Horror	6
28	The Mine (2012)	Adventure, Horror, Mystery	3.8
29	Lake Dead (2008)	Horror, Thriller	4.2
30	The Number 23 (2007)	Mystery, Thriller	6.4
31	Cold Mountain (2003)	Adventure, Drama, History	7.2
32	Hollow Man (2000)	Action, Horror, Sci-Fi	5.7
33	Dinner for Schmucks (2010)	Comedy	5.9
34	Hidalgo (2004)	Short	7.7
35	Escape from Planet Earth (2013)	Adventure, Animation, Comedy	5.9
36	Evolution (2001)	Animation, Comedy, Short	6.5
37	Four Brothers (2005)	Action, Crime, Drama	6.9
38	The Ten (2008)	Comedy, Romance	5
39	Wing Commander (1999)	Drama, War	6.7
40	Fired Up! (2009)	Comedy	6.2
41	Fortitude (2015)	Western	8.7
42	Lewis (2007)	NO DATA	NO DATA
43	Running with Scissors (2006)	Comedy, Short	6.8
44	Original Gangstas (1996)	Action, Crime, Drama	5.7
45	The Posthuman Project (2014)	Action, Adventure, Comedy	3.8
46	Narm Pee Nong Sayong Kwan (2010)	Comedy, Horror	6.8
47	Gallows Road (2015)	Drama	5
48	Noel (2004)	Animation, Family	7.1
49	Deuce of Spades (2011)	Drama	7.1
50	Lola la trailera (2005)	Action, Comedy, Crime	4.5
